x,y,z
1365.0,-535.0,-230.0
1340.0,-535.0,-230.0
1315.0,-535.0,-230.0
1290.0,-535.0,-230.0
1265.0,-535.0,-230.0
1240.0,-535.0,-230.0
1215.0,-535.0,-230.0
1190.0,-535.0,-230.0
1165.0,-535.0,-230.0
1165.0,-560.0,-230.0
1140.0,-560.0,-230.0
1140.0,-585.0,-230.0
1115.0,-585.0,-230.0
1115.0,-610.0,-230.0
1090.0,-610.0,-230.0
1090.0,-635.0,-230.0
1065.0,-635.0,-230.0
1065.0,-660.0,-230.0
1040.0,-660.0,-230.0
0.4170056649554681,-0.7342922204005617,-0.20288085937528422
